#Spinal Cord,Medulla,Medullary Reticular Formation,Pons,Pontine Reticular Formation,Central lateral nucleus,VPL nucleus,Nucleus accumbens,MD ,Cortex
0,0,0,0,0,0,0,-1,0,0
1,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,-1,1,0
# row is input kernel,,,,,,,,,
