# Cortex, Striatum, GPi, STN, GPe, Thalamus
0,1,0,1,0,1
0,0,-1,0,-1,0
0,0,0,-1,0,-1
0,1,1,0,0,0
0,0,0,-1,0,-1
1,0,0,0,0,0
# row is input kernel,,,,,
